COMP;REGIAO;UF;MUNICIPIO;MOTIVO_DESABILITACAO;CNES;NOME_ESTABELECIMENTO;RAZAO_SOCIAL;TP_GESTAO;CO_TIPO_UNIDADE;DS_TIPO_UNIDADE;NATUREZA_JURIDICA;DESC_NATUREZA_JURIDICA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;NU_TELEFONE;NO_EMAIL;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS;UTI_ADULTO_EXIST;UTI_ADULTO_SUS;UTI_PEDIATRICO_EXIST;UTI_PEDIATRICO_SUS;UTI_NEONATAL_EXIST;UTI_NEONATAL_SUS;UTI_QUEIMADO_EXIST;UTI_QUEIMADO_SUS;UTI_CORONARIANA_EXIST;UTI_CORONARIANA_SUS
202405;SUDESTE;SP;SAO PAULO;;102075;HOSPITAL MUNICIPAL DA BELA VISTA SANTA DULCE DOS POBRES;PREFEITURA DO MUNICIPIO DE SAO PAULO;M;5;HOSPITAL GERAL;1031;HOSPITAL_PÚBLICO;RUA ANTONIO CARLOS;122;;CONSOLACAO;1309010;42102970;;113;93;20;0;20;0;0;0;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;102105;HOSPITAL MUNICIPAL BRASILANDIA;SECRETARIA MUNICIPAL DA SAUDE;M;5;HOSPITAL GERAL;1031;HOSPITAL_PÚBLICO;MICHIHISA MURATA;150;;JARDIM MARISTELA;2806060;11 33864243;DMELLONE@PREFEITURA.SP.GOV.BR;270;250;50;30;40;20;10;10;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;161438;HOSPITAL MUNICIPAL GUARAPIRANGA;PREFEITURA DO MUNICIPIO DE SAO PAULO;M;5;HOSPITAL GERAL;1031;HOSPITAL_PÚBLICO;ESTRADA DA RIVIERA;4742;ZONA SUL;RIVIERA PAULISTA;4916000;(11) 3113-9592;;216;186;30;0;30;0;0;0;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;255661;IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA;IMPAR SERVICOS HOSPITALARES SA;M;5;HOSPITAL GERAL;2054;HOSPITAL_PRIVADO;AVENIDA SANTO AMARO;2468;;BROOKLIN PAULISTA;4556901;11 30408008;;199;0;50;0;50;0;0;0;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;263192;HOSPITAL SANCTA MAGGIORE DUBAI;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;M;5;HOSPITAL GERAL;2062;HOSPITAL_PRIVADO;RUA FRANCISCO TRAMONTANO;100;;REAL PARQUE;5686902;1140859057;luciana.tamaoki@preventsenior.com.br;170;0;37;0;37;0;0;0;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;393290;HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE RUSSIA;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;M;5;HOSPITAL GERAL;2062;HOSPITAL_PRIVADO;AVENIDA PROFESSOR FRANCISCO MORATO;1133;;BUTANTA;5513100;(11) 40859000;luciana.tamaoki@preventsenior.com.br;43;0;0;0;0;0;0;0;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;414808;CRIA CASA DE PARTO;CENTRO DE PARTO HUMANIZADO VILA MARIANA EIRELI;M;5;HOSPITAL GERAL;2062;HOSPITAL_PRIVADO;RUA DOUTOR LOPES DE ALMEIDA;16;;VILA MARIANA;4120070;11998067090;mmattos@gmail.com;7;0;0;0;0;0;0;0;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;478474;PA SAO RAFAEL;PA SAO RAFAEL SERVICOS MEDICOS LTDA;M;20;PRONTO SOCORRO GERAL;2062;HOSPITAL_PRIVADO;AVENIDA ADOLFO PINHEIRO;2100;;SANTO AMARO;4734003;11 23732850;EDSON@PRIMESERVICOSMEDICOS.COM.BR;5;0;0;0;0;0;0;0;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;507733;HOSPITAL ESPORTE E SAUDE BR SURGERY;HOSPITAL ESPORTE E SAUDE LTDA;M;5;HOSPITAL GERAL;2062;HOSPITAL_PRIVADO;FAGUNDES FILHO;475;;VILA MONTE ALEGRE;4304010;11 4369-4300;ROBERTO@BRSURGERY.COM.BR;14;0;2;0;2;0;0;0;0;0;0;0;0;0
202405;SUDESTE;SP;SAO PAULO;;663913;HOSPITAL SAINT PATRICK;ASSOCIACAO HOSPITALAR JAGUARA;M;5;HOSPITAL GERAL;3999;HOSPITAL_FILANTRÓPICO;AV CANDIDO PORTINARI;616;;VILA JAGUARA;5114000;;regulatorio@cnesolution.com.br;20;0;0;0;0;0;0;0;0;0;0;0;0;0
